Bore.ID,Easting,Northing,Latitude.x,Longitude.x,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity,Longitude.y,Latitude.y,Completed Depth
GW014595,598939,6158942,-34.7068,148.0804,12/07/1978,0,13.1,320,0.739595,7.92557,4,Qa,76.5,NA,148.0804,34.7068,13.1
GW014742,603490,6140622,-34.8715,148.1323,1/11/1987,5.4,36.6,280,3.9421599,5.4379001,2,Cj,28.6,NA,148.1323,34.8715,36.6
GW020020,599025,6171727,-34.5915,148.0798,1/11/1987,7.8,NA,393,1.13828,7.9900498,3,Sbs,25.2,NA,148.0798,34.5915,39.3
GW020020,599025,6171727,-34.5915,148.0798,15/01/1999,3.9,39.3,393,1.13828,7.9900498,3,Sbs,97.3,NA,148.0798,34.5915,39.3
GW020020,599025,6171727,-34.5915,148.0798,8/07/1998,1.8,39.3,393,1.13828,7.9900498,3,Sbs,105.8,NA,148.0798,34.5915,39.3
GW020020,599025,6171727,-34.5915,148.0798,3/04/2001,0,39.3,393,1.13828,7.9900498,3,Sbs,55.8,NA,148.0798,34.5915,39.3
GW020081,599709,6159581,-34.7009,148.0887,16/10/1979,6.41,14.3,325,0.327336,9.6672802,4,Qa,31.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/06/1978,0,14.3,325,0.327336,9.6672802,4,Qa,61.5,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/03/1991,3.11,14.3,325,0.327336,9.6672802,4,Qa,15.6,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/05/1980,6.75,14.3,325,0.327336,9.6672802,4,Qa,96.6,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/02/1985,3.67,14.3,325,0.327336,9.6672802,4,Qa,1,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/05/1983,6.6,14.3,325,0.327336,9.6672802,4,Qa,130.8,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/02/1981,6.74,14.3,325,0.327336,9.6672802,4,Qa,76.2,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,18/10/1983,0,14.3,325,0.327336,9.6672802,4,Qa,79.5,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,18/02/1983,6.54,14.3,325,0.327336,9.6672802,4,Qa,43,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,17/09/1979,6.38,14.3,325,0.327336,9.6672802,4,Qa,53,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,17/01/1980,6.65,14.3,325,0.327336,9.6672802,4,Qa,48.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/03/1982,6.29,14.3,325,0.327336,9.6672802,4,Qa,107.7,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,16/10/1975,7.11,14.3,325,0.327336,9.6672802,4,Qa,121,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,16/09/1975,7.2,14.3,325,0.327336,9.6672802,4,Qa,90.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,16/08/1989,1.32,14.3,325,0.327336,9.6672802,4,Qa,65.9,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,16/07/1979,6.37,14.3,325,0.327336,9.6672802,4,Qa,19.1,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,16/02/1979,6.33,14.3,325,0.327336,9.6672802,4,Qa,4.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,16/02/1978,6.59,14.3,325,0.327336,9.6672802,4,Qa,0.1,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,15/10/1984,0,14.3,325,0.327336,9.6672802,4,Qa,62.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,15/02/1974,10.11,14.3,325,0.327336,9.6672802,4,Qa,67.7,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,19/07/1988,3.24,14.3,325,0.327336,9.6672802,4,Qa,93.3,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,29/08/1980,6.62,14.3,325,0.327336,9.6672802,4,Qa,46.4,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,15/01/1999,3.1,14.3,325,0.327336,9.6672802,4,Qa,95.7,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,14/12/1982,6.37,14.3,325,0.327336,9.6672802,4,Qa,20.6,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,15/09/1981,6.34,14.3,325,0.327336,9.6672802,4,Qa,28.5,NA,148.0887,34.7009,14.3
GW020081,599709,6159581,-34.7009,148.0887,26/02/1980,6.74,14.3,325,0.327336,9.6672802,4,Qa,27.5,NA,148.0887,34.7009,14.3
