FID,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Muttama_Mr,Slope,swi1,dem,Lithology1,Lithology_
126,GW020081,30/11/1988 0:00:00,3.300000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
127,GW020081,30/05/1991 0:00:00,3.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
128,GW020081,29/06/1982 0:00:00,6.210000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
129,GW020081,29/01/1982 0:00:00,6.200000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
130,GW020081,28/12/1990 0:00:00,2.480000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
131,GW020081,28/09/1982 0:00:00,6.230000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
132,GW020081,28/04/1988 0:00:00,3.590000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
133,GW020081,27/05/1981 0:00:00,6.830000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
134,GW020081,29/05/1984 0:00:00,4.610000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
135,GW020081,26/03/1981 0:00:00,6.820000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
136,GW020081,20/04/1982 0:00:00,6.220000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
137,GW020081,25/11/1987 0:00:00,2.570000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
138,GW020081,25/06/1974 0:00:00,9.300000000000001,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
139,GW020081,25/05/1982 0:00:00,6.210000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
140,GW020081,24/04/1984 0:00:00,4.650000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
141,GW020081,24/03/1987 0:00:00,2.730000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
142,GW020081,23/07/1984 0:00:00,0.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
143,GW020081,23/07/1982 0:00:00,6.180000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
144,GW020081,22/09/1980 0:00:00,6.620000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
145,GW020081,21/12/1977 0:00:00,6.400000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
