"Work.No","Measurement.date.x","Standing_Water_level..m..x","Easting.x","Longitude.x","Latitude.x","Northing.x","Measurement.date.y","Standing_Water_level..m..y","Easting.y","Longitude.y","Latitude.y","Northing.y","Drilled_De","Salinity","Elevation"
"GW020081","15/09/1981",6.34,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","26/02/1980",6.74,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","16/10/1990",1.67,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","14/09/1978",6.58,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","30/11/1988",3.3,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","30/05/1991",3,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","29/06/1982",6.21,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","29/01/1982",6.2,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","28/12/1990",2.48,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","28/09/1982",6.23,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","28/04/1988",3.59,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","27/05/1981",6.83,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","29/05/1984",4.61,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","26/03/1981",6.82,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","20/04/1982",6.22,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","25/11/1987",2.57,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW020081","25/06/1974",9.3,"599,709",148.0887,-34.7009,"6,159,581",NA,NA,NA,NA,NA,NA,NA,NA,NA
