Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing
GW020352,29/05/1984,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,29/01/1982,5.3,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,28/09/1982,6.66,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,27/05/1981,6.5,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,25/05/1982,5.59,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,26/02/1980,6.05,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,19/05/1980,6.16,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,24/03/1987,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,23/07/1982,5.48,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,22/09/1980,6.28,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,21/12/1977,5.6,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,21/05/1975,4.55,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,20/04/1982,5.34,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,19/06/1978,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,19/05/1983,5.7,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,26/06/1974,7.7,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,1/12/1981,4.78,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,7/01/1976,4.46,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,6/11/1979,5.76,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,5/10/1978,5.03,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,4/10/1985,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,4/04/1979,5.39,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,4/02/1977,4.6,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,4/01/1979,5.1,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,8/07/1980,6.17,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,2/12/1980,6.2,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,6/08/1979,5.6,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,1/12/1978,0,"599,045",148.0815,-34.7029,"6,159,372"
GW020352,1/11/1982,5.72,"599,045",148.0815,-34.7029,"6,159,372"
