cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Yield Description,Drilled Depth,Salinity
29,-34.7008999999999,148.088699999999,1977-02-15,94.29999999999973,1977-02-01,176,GW020081,1977-02-04,6.4,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1977-02-15,94.29999999999973,1977-02-01,247,GW020352,1977-02-04,4.6,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1977-12-16,1.2999999999997272,1977-12-01,53,GW014595,1977-12-21,4.52,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1977-12-16,1.2999999999997272,1977-12-01,145,GW020081,1977-12-21,6.4,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1977-12-16,1.2999999999997272,1977-12-01,235,GW020352,1977-12-21,5.6,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1978-02-15,0.09999999999990905,1978-02-01,30,GW014595,1978-02-16,4.83,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1978-02-15,0.09999999999990905,1978-02-01,115,GW020081,1978-02-16,6.59,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1978-02-15,0.09999999999990905,1978-02-01,214,GW020352,1978-02-16,5.89,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1978-03-16,38.59999999999991,1978-03-01,86,GW014595,1978-03-14,5.03,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1978-03-16,38.59999999999991,1978-03-01,178,GW020081,1978-03-14,6.7,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1978-03-16,38.59999999999991,1978-03-01,261,GW020352,1978-03-14,6.07,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1978-04-16,28.199999999999818,1978-04-01,67,GW014595,1978-04-13,5.13,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1978-04-16,28.199999999999818,1978-04-01,183,GW020081,1978-04-13,6.73,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1978-04-16,28.199999999999818,1978-04-01,264,GW020352,1978-04-13,6.15,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1978-05-16,101.19999999999982,1978-05-01,60,GW014595,1978-05-05,0,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1978-05-16,101.19999999999982,1978-05-01,159,GW020081,1978-05-05,0,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1978-05-16,101.19999999999982,1978-05-01,265,GW020352,1978-05-05,0,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1978-06-16,61.5,1978-06-01,27,GW014595,1978-06-19,0,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1978-06-16,61.5,1978-06-01,99,GW020081,1978-06-19,0,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1978-06-16,61.5,1978-06-01,238,GW020352,1978-06-19,0,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1978-07-16,76.5,1978-07-01,92,GW014595,1978-07-12,0,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1978-07-16,76.5,1978-07-01,186,GW020081,1978-07-12,0,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
