cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Drilled.Depth,Salinity
42,-34.7009,148.0887,1980-05-16,96.59999999999991,1980-05-01,101,GW020081,1980-05-19,6.75,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1985-02-15,1,1985-02-01,102,GW020081,1985-02-19,3.67,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1983-05-16,130.79999999999973,1983-05-01,103,GW020081,1983-05-19,6.6,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1981-02-15,76.19999999999982,1981-02-01,104,GW020081,1981-02-19,6.74,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1983-10-16,79.5,1983-10-01,105,GW020081,1983-10-18,0,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1983-02-15,43,1983-02-01,106,GW020081,1983-02-18,6.54,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1979-09-16,53,1979-09-01,107,GW020081,1979-09-17,6.38,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1980-01-16,48.399999999999636,1980-01-01,108,GW020081,1980-01-17,6.65,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1982-03-16,107.69999999999982,1982-03-01,109,GW020081,1982-03-19,6.29,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1975-10-16,121,1975-10-01,110,GW020081,1975-10-16,7.11,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1975-09-16,90.39999999999964,1975-09-01,111,GW020081,1975-09-16,7.2,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1989-08-16,65.89999999999964,1989-08-01,112,GW020081,1989-08-16,1.32,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1979-07-16,19.09999999999991,1979-07-01,113,GW020081,1979-07-16,6.37,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
42,-34.7009,148.0887,1979-02-15,4.299999999999727,1979-02-01,114,GW020081,1979-02-16,6.33,599709,6159581,325,0.327336,9.6672802,4,Qa,0,NA
